Reference,Set,SetID,Mineral,Mineral_formula,Sorbate,Temp,pH,Electrolyte1,Electrolyte1_val,Electrolyte2,Electrolyte2_val,Mineralsites,Sorbed_val
synthetic_study_1,58,17,goethite,FeOOH,U(+6),24.707998140399916,6.831689761992734,Na(+1),0.005781531747080241,NO3(-1),0.005781531747080241,2.3,90.66593408953166
synthetic_study_0,122,18,goethite,FeOOH,U(+6),25.18831258646078,4.897695124299078,Na(+1),0.0029827949455633698,NO3(-1),0.0029827949455633698,2.3,43.329760964046855
synthetic_study_1,94,19,goethite,FeOOH,U(+6),25.713784782578227,5.881497769581268,Na(+1),0.2960530139925952,NO3(-1),0.2960530139925952,2.3,55.71968301697053
synthetic_study_1,41,20,goethite,FeOOH,U(+6),24.486866666357304,2.7265573691637037,Na(+1),0.16099145602755305,NO3(-1),0.16099145602755305,2.3,1.9010296994311093
synthetic_study_0,26,21,goethite,FeOOH,U(+6),24.692879682277542,3.4942662119965116,Na(+1),0.02611699992889629,NO3(-1),0.02611699992889629,2.3,4.791145956962845
synthetic_study_2,120,22,goethite,FeOOH,U(+6),25.499227804963642,7.864995317549043,Na(+1),0.002827040563074531,NO3(-1),0.002827040563074531,2.3,94.30662145998221
synthetic_study_3,78,23,goethite,FeOOH,U(+6),25.153537369509234,7.677516092594001,Na(+1),0.15493742710523467,NO3(-1),0.15493742710523467,2.3,91.02507882466804
synthetic_study_1,72,24,goethite,FeOOH,U(+6),24.91122111417325,7.423080891850031,Na(+1),0.29843789958908323,NO3(-1),0.29843789958908323,2.3,94.78797457162557
synthetic_study_2,33,25,goethite,FeOOH,U(+6),25.234593528407185,5.5694204340950675,Na(+1),0.003475447685092741,NO3(-1),0.003475447685092741,2.3,72.58093477069548
synthetic_study_2,123,26,goethite,FeOOH,U(+6),25.09974763085504,10.477679486313688,Na(+1),0.1882329860976392,NO3(-1),0.1882329860976392,2.3,98.505874034509
synthetic_study_0,98,27,goethite,FeOOH,U(+6),24.804213417033314,10.34668271020984,Na(+1),0.014914283187029547,NO3(-1),0.014914283187029547,2.3,94.9011599792676
synthetic_study_0,61,28,goethite,FeOOH,U(+6),24.799512726469516,7.984335875845558,Na(+1),1.0468668052783003,NO3(-1),1.0468668052783003,2.3,90.29471335039304
synthetic_study_3,45,29,goethite,FeOOH,U(+6),25.256582580814413,7.70367421014253,Na(+1),0.3020514807435999,NO3(-1),0.3020514807435999,2.3,93.13957576898007
synthetic_study_1,72,30,goethite,FeOOH,U(+6),25.10299141567031,8.00757384456752,Na(+1),0.008004106558764788,NO3(-1),0.008004106558764788,2.3,105.29200717592502
synthetic_study_0,149,31,goethite,FeOOH,U(+6),25.323304744328397,5.61137139183283,Na(+1),1.2459105255666754,NO3(-1),1.2459105255666754,2.3,32.27459295184787
synthetic_study_1,19,32,goethite,FeOOH,U(+6),25.196134224257168,3.5807720401792897,Na(+1),0.001211345680877537,NO3(-1),0.001211345680877537,2.3,4.710086886581062
synthetic_study_1,16,33,goethite,FeOOH,U(+6),24.81580140628115,8.271906721552654,Na(+1),0.004073045370210763,NO3(-1),0.004073045370210763,2.3,97.00286901838638
synthetic_study_1,2,34,goethite,FeOOH,U(+6),25.457234848640528,6.702834579805807,Na(+1),0.006284631310686632,NO3(-1),0.006284631310686632,2.3,90.16375033248295
synthetic_study_0,84,35,goethite,FeOOH,U(+6),24.72305112596181,4.981935004471645,Na(+1),0.26053392071398673,NO3(-1),0.26053392071398673,2.3,21.55109635363256
synthetic_study_2,86,36,goethite,FeOOH,U(+6),24.86401147706782,6.386682870654313,Na(+1),0.05449472943413322,NO3(-1),0.05449472943413322,2.3,77.2846864066874
synthetic_study_1,27,37,goethite,FeOOH,U(+6),24.765165351760285,9.615902674792002,Na(+1),0.03407523393447259,NO3(-1),0.03407523393447259,2.3,96.3377974562881
synthetic_study_3,91,38,goethite,FeOOH,U(+6),24.579645948251738,9.972348127649997,Na(+1),0.005424503802239562,NO3(-1),0.005424503802239562,2.3,99.2124024469697
synthetic_study_1,44,39,goethite,FeOOH,U(+6),25.186778099081792,5.362361573672562,Na(+1),0.3135750240037046,NO3(-1),0.3135750240037046,2.3,33.54574492492278
synthetic_study_3,135,40,goethite,FeOOH,U(+6),24.684144031913792,7.0722386458380875,Na(+1),0.0024347319035540388,NO3(-1),0.0024347319035540388,2.3,99.3507546191251
synthetic_study_3,129,41,goethite,FeOOH,U(+6),24.79473254723882,5.074955128607537,Na(+1),0.006549769662889014,NO3(-1),0.006549769662889014,2.3,45.54505513524401
synthetic_study_1,93,42,goethite,FeOOH,U(+6),25.28283187710841,7.254400241597574,Na(+1),0.4581303404379683,NO3(-1),0.4581303404379683,2.3,88.96138483094043
synthetic_study_2,75,43,goethite,FeOOH,U(+6),25.259563944942144,5.203289804057066,Na(+1),0.03079332833793206,NO3(-1),0.03079332833793206,2.3,32.248137142561205
synthetic_study_1,26,44,goethite,FeOOH,U(+6),24.813572735896994,5.63295200422529,Na(+1),0.782525557772661,NO3(-1),0.782525557772661,2.3,33.40117444481463
synthetic_study_1,13,45,goethite,FeOOH,U(+6),24.607588169173923,9.622194816038338,Na(+1),0.09671448954429739,NO3(-1),0.09671448954429739,2.3,101.00432363380126
synthetic_study_2,123,46,goethite,FeOOH,U(+6),24.968723904940955,4.317260748267038,Na(+1),0.4031784723411571,NO3(-1),0.4031784723411571,2.3,1.745630796777732
synthetic_study_0,109,47,goethite,FeOOH,U(+6),24.520640233719817,7.485497157488339,Na(+1),0.004153658626710612,NO3(-1),0.004153658626710612,2.3,98.95738221368191
synthetic_study_2,132,48,goethite,FeOOH,U(+6),24.696872737454353,3.1721227486590786,Na(+1),0.011054323333541194,NO3(-1),0.011054323333541194,2.3,0.37363860330885634
synthetic_study_0,66,49,goethite,FeOOH,U(+6),24.883667110500728,9.161153181227181,Na(+1),0.017503704421307845,NO3(-1),0.017503704421307845,2.3,97.48684422066151
synthetic_study_1,82,50,goethite,FeOOH,U(+6),24.952560932934762,8.796786459909466,Na(+1),0.04274224992442215,NO3(-1),0.04274224992442215,2.3,104.05446449191751
synthetic_study_1,12,51,goethite,FeOOH,U(+6),24.83343093649852,4.414955543943617,Na(+1),0.036236077578480685,NO3(-1),0.036236077578480685,2.3,15.044951922584923
synthetic_study_1,86,52,goethite,FeOOH,U(+6),24.95639652956772,9.511873846485631,Na(+1),0.5177717126801085,NO3(-1),0.5177717126801085,2.3,105.23861657981439
synthetic_study_0,72,53,goethite,FeOOH,U(+6),25.414612096178438,2.9685442784415548,Na(+1),0.0037284537079470188,NO3(-1),0.0037284537079470188,2.3,0.0
synthetic_study_0,28,54,goethite,FeOOH,U(+6),25.188137848557524,5.188936484365283,Na(+1),0.6455108081174659,NO3(-1),0.6455108081174659,2.3,26.951198724389965
synthetic_study_0,66,55,goethite,FeOOH,U(+6),25.413767877206304,3.7022357351587125,Na(+1),0.8587223583600646,NO3(-1),0.8587223583600646,2.3,5.84374826384461
synthetic_study_1,111,56,goethite,FeOOH,U(+6),25.268808819595378,6.102714933194296,Na(+1),0.0017750591001227587,NO3(-1),0.0017750591001227587,2.3,73.53795210698877
synthetic_study_2,87,57,goethite,FeOOH,U(+6),25.069594500675827,8.870594162298353,Na(+1),0.0010739602807431747,NO3(-1),0.0010739602807431747,2.3,99.4992146396205
synthetic_study_0,28,58,goethite,FeOOH,U(+6),24.63584791767898,4.3451376719499795,Na(+1),0.009248787693518553,NO3(-1),0.009248787693518553,2.3,23.366979730243777
synthetic_study_0,65,59,goethite,FeOOH,U(+6),24.59917387544992,2.916170408515277,Na(+1),0.021011532707574995,NO3(-1),0.021011532707574995,2.3,4.647261431896892
synthetic_study_3,127,60,goethite,FeOOH,U(+6),24.993824416440024,5.736414718572226,Na(+1),1.5939806399468963,NO3(-1),1.5939806399468963,2.3,34.64908801547318
synthetic_study_1,90,61,goethite,FeOOH,U(+6),24.877417715646175,4.088104356074043,Na(+1),0.0017204750156509198,NO3(-1),0.0017204750156509198,2.3,16.234179136461254
synthetic_study_0,91,62,goethite,FeOOH,U(+6),24.71963707078214,3.226024364952975,Na(+1),0.3787105251687824,NO3(-1),0.3787105251687824,2.3,0.0
synthetic_study_0,105,63,goethite,FeOOH,U(+6),25.122911383884983,7.142659087894805,Na(+1),0.03705973818458089,NO3(-1),0.03705973818458089,2.3,94.75544111216887
synthetic_study_3,17,64,goethite,FeOOH,U(+6),25.367223753479614,4.889569062551381,Na(+1),0.0026827649997309883,NO3(-1),0.0026827649997309883,2.3,34.147979542666846
synthetic_study_3,148,65,goethite,FeOOH,U(+6),24.97957375452169,7.875959023650875,Na(+1),0.016146002619744304,NO3(-1),0.016146002619744304,2.3,94.41989623261347
synthetic_study_3,147,66,goethite,FeOOH,U(+6),25.02575066777231,4.096123551745706,Na(+1),0.018070686157747276,NO3(-1),0.018070686157747276,2.3,14.850472957656226
synthetic_study_3,83,67,goethite,FeOOH,U(+6),24.83591053959514,10.036904884051982,Na(+1),0.006364865796951529,NO3(-1),0.006364865796951529,2.3,99.88451506325669
synthetic_study_2,13,68,goethite,FeOOH,U(+6),24.79361772772099,5.4208813459586285,Na(+1),0.009362684734535739,NO3(-1),0.009362684734535739,2.3,53.97856949605591
synthetic_study_0,66,69,goethite,FeOOH,U(+6),25.592095911054006,3.343962236561836,Na(+1),0.02430704376661181,NO3(-1),0.02430704376661181,2.3,2.5503491018457938
synthetic_study_0,32,70,goethite,FeOOH,U(+6),24.62307669441175,7.532865212317674,Na(+1),1.49783027041873,NO3(-1),1.49783027041873,2.3,103.04141594863205
synthetic_study_2,106,71,goethite,FeOOH,U(+6),24.951632600411337,9.917236424542939,Na(+1),0.032676826908978406,NO3(-1),0.032676826908978406,2.3,104.07938382252564
synthetic_study_3,148,72,goethite,FeOOH,U(+6),24.865857955616082,6.023017237726272,Na(+1),1.3659837721534627,NO3(-1),1.3659837721534627,2.3,45.881378509703204
synthetic_study_1,137,73,goethite,FeOOH,U(+6),24.967032509693723,10.136723949525898,Na(+1),0.0012611183246044812,NO3(-1),0.0012611183246044812,2.3,106.64832797318587
synthetic_study_2,116,74,goethite,FeOOH,U(+6),25.313900009494546,6.499166509501176,Na(+1),0.0016525851781193223,NO3(-1),0.0016525851781193223,2.3,91.73513606732652
synthetic_study_3,3,75,goethite,FeOOH,U(+6),25.298128790254417,5.901828998792604,Na(+1),0.0012353570284474756,NO3(-1),0.0012353570284474756,2.3,85.20095599369316
synthetic_study_3,130,76,goethite,FeOOH,U(+6),24.957966400733003,7.4617076161230225,Na(+1),0.1576221714807246,NO3(-1),0.1576221714807246,2.3,92.45902192291096
synthetic_study_0,5,77,goethite,FeOOH,U(+6),25.337048711416312,10.460772041882592,Na(+1),0.00533049917751428,NO3(-1),0.00533049917751428,2.3,96.23290058474547
synthetic_study_0,78,78,goethite,FeOOH,U(+6),24.770035848309774,10.091549399502123,Na(+1),0.07983376260470151,NO3(-1),0.07983376260470151,2.3,103.1500974519449
synthetic_study_0,146,79,goethite,FeOOH,U(+6),25.106703133661252,6.180361114472769,Na(+1),0.4214133091924412,NO3(-1),0.4214133091924412,2.3,59.62805280146478
synthetic_study_1,125,80,goethite,FeOOH,U(+6),25.53385360769139,8.561830762466332,Na(+1),0.01244474297928957,NO3(-1),0.01244474297928957,2.3,96.4165042665381
synthetic_study_3,81,81,goethite,FeOOH,U(+6),24.826723618207534,6.479381563900952,Na(+1),0.006467489405138201,NO3(-1),0.006467489405138201,2.3,92.44658713226598
synthetic_study_2,123,82,goethite,FeOOH,U(+6),25.06153522221138,6.734497281574163,Na(+1),0.24765570540882728,NO3(-1),0.24765570540882728,2.3,78.24029517621835
synthetic_study_0,7,83,goethite,FeOOH,U(+6),25.449573980503146,8.78628560571046,Na(+1),0.037193129126273546,NO3(-1),0.037193129126273546,2.3,93.90684057615655
synthetic_study_3,56,84,goethite,FeOOH,U(+6),24.74725673407406,5.817246794845366,Na(+1),0.003107373673531872,NO3(-1),0.003107373673531872,2.3,78.28043561521007
synthetic_study_1,99,85,goethite,FeOOH,U(+6),25.019297543661988,8.375868574309834,Na(+1),0.0019434299336074108,NO3(-1),0.0019434299336074108,2.3,91.76992069616392
synthetic_study_3,52,86,goethite,FeOOH,U(+6),24.905559887996805,8.189143023918,Na(+1),0.2708025526272004,NO3(-1),0.2708025526272004,2.3,95.15795148169187
synthetic_study_0,14,87,goethite,FeOOH,U(+6),24.664917071257648,9.956477492907027,Na(+1),0.6908133235361631,NO3(-1),0.6908133235361631,2.3,98.41297291615184
synthetic_study_2,72,88,goethite,FeOOH,U(+6),25.121278332935542,3.4194610662472416,Na(+1),0.8673509496688595,NO3(-1),0.8673509496688595,2.3,0.0
synthetic_study_1,15,89,goethite,FeOOH,U(+6),24.746761282275557,8.332120936610476,Na(+1),0.048227386175693214,NO3(-1),0.048227386175693214,2.3,94.58796315811607
synthetic_study_2,68,90,goethite,FeOOH,U(+6),25.496726335071354,9.91939142899648,Na(+1),0.00320922427794937,NO3(-1),0.00320922427794937,2.3,102.62951529780335
synthetic_study_1,60,91,goethite,FeOOH,U(+6),25.006198357504726,10.243409519397172,Na(+1),0.005554813221305327,NO3(-1),0.005554813221305327,2.3,101.14705830396647
synthetic_study_3,100,92,goethite,FeOOH,U(+6),24.936955136633962,2.6176504397229543,Na(+1),0.03137825830384911,NO3(-1),0.03137825830384911,2.3,0.0
synthetic_study_2,99,93,goethite,FeOOH,U(+6),25.012261539305978,9.409120721964605,Na(+1),0.6473353635209756,NO3(-1),0.6473353635209756,2.3,101.81369645922643
synthetic_study_2,102,94,goethite,FeOOH,U(+6),25.03083621445286,10.349560320530754,Na(+1),0.13984646154970337,NO3(-1),0.13984646154970337,2.3,106.03395624624875
synthetic_study_2,123,95,goethite,FeOOH,U(+6),24.94023273250132,10.157681436887708,Na(+1),0.008033096016444816,NO3(-1),0.008033096016444816,2.3,94.84151028829467
synthetic_study_0,68,96,goethite,FeOOH,U(+6),25.01716855581251,3.6901120978599833,Na(+1),0.31231836118592243,NO3(-1),0.31231836118592243,2.3,3.023754450884075
synthetic_study_3,128,97,goethite,FeOOH,U(+6),24.82755653218972,10.28103051058364,Na(+1),0.027349700734082244,NO3(-1),0.027349700734082244,2.3,107.87460407860453
synthetic_study_3,7,98,goethite,FeOOH,U(+6),24.850168149756026,9.619484445764165,Na(+1),1.7503343633687247,NO3(-1),1.7503343633687247,2.3,102.16888515188224
synthetic_study_3,58,99,goethite,FeOOH,U(+6),25.158113052740614,9.078990620344563,Na(+1),0.025989597503017547,NO3(-1),0.025989597503017547,2.3,103.01979474852087
synthetic_study_2,51,100,goethite,FeOOH,U(+6),24.359094904878454,6.339903390462657,Na(+1),0.5790925147868575,NO3(-1),0.5790925147868575,2.3,66.12677546924087
synthetic_study_2,147,101,goethite,FeOOH,U(+6),24.76015504038642,4.358983357114431,Na(+1),0.0011168308027214471,NO3(-1),0.0011168308027214471,2.3,23.44706237504701
synthetic_study_0,5,102,goethite,FeOOH,U(+6),25.002566561383357,8.915044629746463,Na(+1),0.23449315764324694,NO3(-1),0.23449315764324694,2.3,104.03877268782178
synthetic_study_1,20,103,goethite,FeOOH,U(+6),25.102714136555072,9.888241278267756,Na(+1),0.020652796281327646,NO3(-1),0.020652796281327646,2.3,102.55755849799894
synthetic_study_1,77,104,goethite,FeOOH,U(+6),24.882837553633458,4.629042178338341,Na(+1),0.04433336703231691,NO3(-1),0.04433336703231691,2.3,18.103333139965876
synthetic_study_1,100,105,goethite,FeOOH,U(+6),25.04086721305343,6.811475260977495,Na(+1),0.004530281003643755,NO3(-1),0.004530281003643755,2.3,91.95668152400295
synthetic_study_1,7,106,goethite,FeOOH,U(+6),24.895160590148077,6.042022631796252,Na(+1),1.1678525014451506,NO3(-1),1.1678525014451506,2.3,43.77724003992479
synthetic_study_1,34,107,goethite,FeOOH,U(+6),24.441785930196954,9.94813852784924,Na(+1),0.004558569119118373,NO3(-1),0.004558569119118373,2.3,100.58822685023625
synthetic_study_0,4,108,goethite,FeOOH,U(+6),25.28214125435867,2.824085689507477,Na(+1),0.07132407096581594,NO3(-1),0.07132407096581594,2.3,0.0
synthetic_study_1,106,109,goethite,FeOOH,U(+6),25.08039879877156,8.356049565252487,Na(+1),0.0935923943374506,NO3(-1),0.0935923943374506,2.3,98.40269414183746
synthetic_study_1,59,110,goethite,FeOOH,U(+6),24.71279289336442,7.414985975591973,Na(+1),0.6805551269571704,NO3(-1),0.6805551269571704,2.3,94.78240386680972
synthetic_study_0,70,111,goethite,FeOOH,U(+6),25.44249248609068,2.7269229209081685,Na(+1),0.03467365158968913,NO3(-1),0.03467365158968913,2.3,4.271786201237518
synthetic_study_3,104,112,goethite,FeOOH,U(+6),25.20324834777082,8.253758182613922,Na(+1),0.5478242184632254,NO3(-1),0.5478242184632254,2.3,100.90886561971948
synthetic_study_0,4,113,goethite,FeOOH,U(+6),24.812348661163814,2.627933836188576,Na(+1),0.05356223146716333,NO3(-1),0.05356223146716333,2.3,9.775270749678633
synthetic_study_3,70,114,goethite,FeOOH,U(+6),25.33197001915328,8.563608018851426,Na(+1),1.4318725917349526,NO3(-1),1.4318725917349526,2.3,103.15624907757051
synthetic_study_1,6,115,goethite,FeOOH,U(+6),25.161708349005245,6.602069786096624,Na(+1),0.23163589044377156,NO3(-1),0.23163589044377156,2.3,76.81792240488149
synthetic_study_1,84,116,goethite,FeOOH,U(+6),25.24866243171936,9.93283376637605,Na(+1),1.0231689713575411,NO3(-1),1.0231689713575411,2.3,96.5838309275411
synthetic_study_1,44,117,goethite,FeOOH,U(+6),24.819461874071198,3.028659973792598,Na(+1),1.2876260567949847,NO3(-1),1.2876260567949847,2.3,9.971153117346665
synthetic_study_3,76,118,goethite,FeOOH,U(+6),24.8330099538861,9.230538236899065,Na(+1),0.4440300025606817,NO3(-1),0.4440300025606817,2.3,96.97454778412138
synthetic_study_3,14,119,goethite,FeOOH,U(+6),24.753260754776107,3.0335200701368112,Na(+1),0.002534036719622248,NO3(-1),0.002534036719622248,2.3,2.9614917219249706
synthetic_study_1,19,120,goethite,FeOOH,U(+6),24.837682457488945,5.254479830433001,Na(+1),0.0025740345633035572,NO3(-1),0.0025740345633035572,2.3,63.638179895652655
synthetic_study_2,103,121,goethite,FeOOH,U(+6),24.306073491722906,5.942389855582666,Na(+1),0.10804328394662405,NO3(-1),0.10804328394662405,2.3,68.34560650343157
synthetic_study_0,134,122,goethite,FeOOH,U(+6),25.325129821667606,10.22849664627256,Na(+1),0.007852031860217424,NO3(-1),0.007852031860217424,2.3,99.75600830195839
synthetic_study_3,69,123,goethite,FeOOH,U(+6),24.64586554263365,6.997854737827656,Na(+1),0.018663911649606832,NO3(-1),0.018663911649606832,2.3,94.50120185385772
synthetic_study_0,26,124,goethite,FeOOH,U(+6),25.170913718287167,4.570916745367458,Na(+1),0.003746562508462117,NO3(-1),0.003746562508462117,2.3,21.018934364335433
synthetic_study_0,96,125,goethite,FeOOH,U(+6),24.610534208836096,4.43340571275476,Na(+1),0.32746620597732773,NO3(-1),0.32746620597732773,2.3,5.2482627266421975
synthetic_study_0,144,126,goethite,FeOOH,U(+6),25.035042044806367,9.604946565273439,Na(+1),0.6604537676728167,NO3(-1),0.6604537676728167,2.3,98.31813670702348
synthetic_study_0,99,127,goethite,FeOOH,U(+6),24.642294496405487,4.306955427338595,Na(+1),0.002743186086189328,NO3(-1),0.002743186086189328,2.3,20.936503369786564
synthetic_study_0,4,128,goethite,FeOOH,U(+6),24.994036305617605,3.496437646682268,Na(+1),0.05076393639912671,NO3(-1),0.05076393639912671,2.3,1.8819837709346021
synthetic_study_3,7,129,goethite,FeOOH,U(+6),24.520091127887618,4.806646056060621,Na(+1),0.02011604826624784,NO3(-1),0.02011604826624784,2.3,27.516628213544134
synthetic_study_1,89,130,goethite,FeOOH,U(+6),24.822423683418602,7.188984518501862,Na(+1),0.4046229847046879,NO3(-1),0.4046229847046879,2.3,98.89286953935895
synthetic_study_1,62,131,goethite,FeOOH,U(+6),25.197892222702308,6.932724017386143,Na(+1),0.03423533568514952,NO3(-1),0.03423533568514952,2.3,93.61171906075228
synthetic_study_1,28,132,goethite,FeOOH,U(+6),25.06416886843115,8.977686207302222,Na(+1),0.25802979787687924,NO3(-1),0.25802979787687924,2.3,100.74110651274927
synthetic_study_2,102,133,goethite,FeOOH,U(+6),25.051313771132968,6.983807616049487,Na(+1),0.07381468872995867,NO3(-1),0.07381468872995867,2.3,90.89442457973638
synthetic_study_1,5,134,goethite,FeOOH,U(+6),24.74246922168826,4.807369715449684,Na(+1),1.6912927074178778,NO3(-1),1.6912927074178778,2.3,10.021096383224238
synthetic_study_1,135,135,goethite,FeOOH,U(+6),24.34104033570138,5.803170741447142,Na(+1),0.02425432265169743,NO3(-1),0.02425432265169743,2.3,69.82063984288396
synthetic_study_0,2,136,goethite,FeOOH,U(+6),24.7320922744108,9.044967767767282,Na(+1),1.81682823216316,NO3(-1),1.81682823216316,2.3,95.31297271251104
synthetic_study_1,141,137,goethite,FeOOH,U(+6),24.846714774810945,7.512051699358028,Na(+1),0.023493478535733598,NO3(-1),0.023493478535733598,2.3,96.48095736104638
synthetic_study_0,122,138,goethite,FeOOH,U(+6),25.44377469574014,10.172621141579537,Na(+1),0.0040068819691034974,NO3(-1),0.0040068819691034974,2.3,95.59332146200134
synthetic_study_0,57,139,goethite,FeOOH,U(+6),25.170857171436737,5.455235288733447,Na(+1),0.38094958030468073,NO3(-1),0.38094958030468073,2.3,34.34508536135862
synthetic_study_1,21,140,goethite,FeOOH,U(+6),25.094938709934606,6.920892084170298,Na(+1),0.007882658422170917,NO3(-1),0.007882658422170917,2.3,94.53361567950023
synthetic_study_3,86,141,goethite,FeOOH,U(+6),24.82544098469384,7.251393612905346,Na(+1),0.07361911829075585,NO3(-1),0.07361911829075585,2.3,97.65400665858172
synthetic_study_2,124,142,goethite,FeOOH,U(+6),24.781222133886878,9.28632966620048,Na(+1),0.13547206900452255,NO3(-1),0.13547206900452255,2.3,104.53931520391548
synthetic_study_2,140,143,goethite,FeOOH,U(+6),25.19218652544797,3.663788305492254,Na(+1),0.004559686164161506,NO3(-1),0.004559686164161506,2.3,10.043657115791824
synthetic_study_0,17,144,goethite,FeOOH,U(+6),24.88838462562462,5.752082693985013,Na(+1),0.0012988018176371505,NO3(-1),0.0012988018176371505,2.3,84.57308732622364
synthetic_study_0,6,145,goethite,FeOOH,U(+6),24.89893166019472,9.779671693298376,Na(+1),1.808048323977236,NO3(-1),1.808048323977236,2.3,106.14099449628405
synthetic_study_0,147,146,goethite,FeOOH,U(+6),25.57535635068123,2.8445351085456334,Na(+1),0.49818135799859126,NO3(-1),0.49818135799859126,2.3,1.8779953403765859
synthetic_study_3,146,147,goethite,FeOOH,U(+6),24.70545419107743,9.081650241452015,Na(+1),0.0025599255877467256,NO3(-1),0.0025599255877467256,2.3,101.3638877577121
synthetic_study_3,50,148,goethite,FeOOH,U(+6),24.91551828717452,5.823072298969797,Na(+1),0.6284910816817691,NO3(-1),0.6284910816817691,2.3,37.83591638996811
synthetic_study_1,68,149,goethite,FeOOH,U(+6),24.925093013945315,9.138431882224822,Na(+1),0.007109346239824983,NO3(-1),0.007109346239824983,2.3,101.12840953265362
synthetic_study_2,34,150,goethite,FeOOH,U(+6),24.80460006575972,2.5796364864583357,Na(+1),0.006546959333129082,NO3(-1),0.006546959333129082,2.3,1.1609832225571202
synthetic_study_2,127,151,goethite,FeOOH,U(+6),24.5765300269448,5.420369262066165,Na(+1),0.35451446187920044,NO3(-1),0.35451446187920044,2.3,26.35328231958927
synthetic_study_1,71,152,goethite,FeOOH,U(+6),25.381705206173738,3.129040297325119,Na(+1),0.3157145816649969,NO3(-1),0.3157145816649969,2.3,0.0
synthetic_study_0,25,153,goethite,FeOOH,U(+6),24.576266112240408,7.7209166106931075,Na(+1),0.618955227176426,NO3(-1),0.618955227176426,2.3,99.04047975354061
synthetic_study_0,34,154,goethite,FeOOH,U(+6),24.727715683238664,4.690792788796458,Na(+1),0.0028245653426418036,NO3(-1),0.0028245653426418036,2.3,28.335584060700157
synthetic_study_1,140,155,goethite,FeOOH,U(+6),25.076879566805093,8.12121656527829,Na(+1),0.29311252605114835,NO3(-1),0.29311252605114835,2.3,103.08052109083737
synthetic_study_0,35,156,goethite,FeOOH,U(+6),24.626879289028984,10.050411415536725,Na(+1),0.035515569665987845,NO3(-1),0.035515569665987845,2.3,101.84899057227324
synthetic_study_1,116,157,goethite,FeOOH,U(+6),24.953260074499582,3.514536818089982,Na(+1),0.011896391467509204,NO3(-1),0.011896391467509204,2.3,3.7405413508447714
